gene	transcript	shNS_R1	shNS_R2	shNS_R3	shRUNX1_R1	shRUNX1_R2	shRUNX1_R3
OARD1	NM_145063	124.00	157.00	59.00	155.00	111.00	123.00
WBSCR22	NM_001202560,NM_017528,NR_037776,NR_045512	448.00	698.00	302.00	319.00	616.00	570.00
LOC102723854	NR_110585	0.00	0.00	0.00	0.00	0.00	0.00
PIGZ	NM_025163	7.00	38.00	14.00	15.00	24.00	25.00
PRDX5	NM_012094,NM_181651,NM_181652	744.00	1131.00	403.00	843.00	972.00	875.00
FAM3D	NM_138805	1.00	0.00	0.00	0.00	0.00	1.00
PEX16	NM_004813,NM_057174	167.00	288.00	123.00	124.00	179.00	165.00
SNORD114-20	NR_003213	0.00	0.00	0.00	0.00	0.00	0.00
SLC35G2	NM_001097599,NM_001097600,NM_025246	0.00	1.00	2.00	1.00	5.00	3.00
TPTE2P6	NR_002815	1.00	3.00	4.84	2.00	2.00	0.00
RAD9A	NM_001243224,NM_004584	139.03	241.53	107.60	65.55	86.69	87.80
PWAR5	NR_022008	4.00	0.00	0.00	0.00	0.00	0.00
MIR549A	NR_030393	0.00	0.00	0.00	0.00	0.00	0.00
TMEM70	NM_001040613,NM_017866,NR_033334	200.00	292.00	138.00	159.00	126.00	113.00
MIR1229	NR_031598	0.00	0.00	0.00	0.00	0.00	0.00
GTF2I	NM_001163636,NM_001280800,NM_001518,NM_032999,NM_033000,NM_033001	3397.16	5290.17	2462.00	4166.68	3954.59	3816.66
CHDH	NM_018397	96.00	131.00	65.00	108.00	83.00	65.00
OR1J1	NM_001004451	0.00	0.00	0.00	0.00	0.00	0.00
GLIPR1	NM_006851	15.17	16.14	5.02	9.91	13.03	3.96
FAM133B	NM_001040057,NM_001288584,NM_152789,NR_109929	208.18	369.26	162.45	214.83	134.02	156.42
DHX58	NM_024119	1.00	1.00	0.00	4.00	7.00	6.00
LRRC20	NM_001278211,NM_001278212,NM_001278213,NM_001278214,NM_018205,NM_018239,NM_207119,NR_103467,NR_103468	63.00	98.00	45.00	131.00	94.00	110.00
MIIP	NM_021933	78.00	112.00	53.00	58.00	75.00	76.00
LOC285696	NR_027253	3.00	1.00	0.00	3.00	7.00	7.00
LYVE1	NM_006691	0.00	1.00	0.00	0.00	0.00	0.00
MTAP	NM_002451	24.00	28.00	15.00	16.00	14.00	15.00
LOC643201	NR_036494	1.00	3.00	0.00	1.00	1.00	2.00
SPATA8-AS1	NR_102753,NR_102754	0.00	0.00	0.00	0.00	0.00	0.00
CDC73	NM_024529	561.00	821.00	389.00	605.00	603.00	498.00
TMEM57	NM_001282564,NM_018202	387.00	556.00	246.00	388.00	301.00	246.00
CT45A5	NM_001007551,NM_001172288	0.00	0.00	0.00	0.00	0.00	0.00
MIR548Z	NR_037515	0.00	0.00	0.00	0.00	0.00	0.00
LOC101927620	NR_110062	2.00	3.00	3.00	3.00	2.00	4.00
SOX10	NM_006941	1.00	1.00	1.00	0.00	2.00	2.00
POTEF	NM_001099771	34.30	75.57	28.53	23.84	37.77	37.98
SLC7A5	NM_003486	3430.97	5995.42	2871.71	2055.00	2667.64	2461.20
LBX1	NM_006562	0.00	0.00	0.00	0.00	0.00	0.00
EPN2	NM_001102664,NM_014964,NM_148921	344.00	588.00	288.00	406.00	380.00	399.00
FAM136A	NM_032822	432.00	625.00	285.00	396.00	557.00	491.00
C11orf58	NM_014267	857.85	1228.99	562.00	780.00	775.00	623.00
PIKFYVE	NM_001178000,NM_015040,NM_152671	697.00	1029.00	491.00	530.00	496.00	409.00
LDHAL6B	NM_033195	0.00	1.00	0.00	3.00	2.00	4.00
