PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-260	chr1	171741923	171742173	+	1	NA	promoter-TSS (ENST00000236192.12)	protein_coding-promoter-TSS (ENST00000236192.12)	12	ENST00000474047.5	ENSG00000117533	ENST00000474047			VAMP4			protein_coding
chr16-39	chr16	38871	39162	+	1	NA	promoter-TSS (ENST00000442856.1)	unprocessed_pseudogene-promoter-TSS (ENST00000442856.1)	-695	ENST00000442856.1	ENSG00000226942	ENST00000442856			IL9RP3			unprocessed_pseudogene
chr14-188	chr14	104752926	104753185	+	1	NA	promoter-TSS (ENST00000329967.11)	protein_coding-promoter-TSS (ENST00000329967.11)	-92	ENST00000329967.11	ENSG00000184990	ENST00000556195			SIVA1			protein_coding
chr8-63	chr8	94092633	94092907	+	1	NA	Intergenic	Intergenic	11552	ENST00000522743.1	ENSG00000253585	ENST00000522743			ENSG00000253585			lncRNA
chr8-47	chr8	100145729	100145990	+	1	NA	promoter-TSS (ENST00000428847.3)	protein_coding-promoter-TSS (ENST00000428847.3)	-42	ENST00000428847.3	ENSG00000156509	ENST00000517806			FBXO43			protein_coding
chr16-167	chr16	88455110	88455282	+	1	NA	intron (ENST00000569086.5, intron 1 of 5)	protein_coding-intron (ENST00000319555.8, intron 1 of 9)	1569	ENST00000563351.5	ENSG00000179588	ENST00000562417			ZFPM1			protein_coding
chr14-83	chr14	51095096	51095227	+	1	NA	promoter-TSS (ENST00000360392.4)	protein_coding-promoter-TSS (ENST00000360392.4)	-56	ENST00000684578.1	ENSG00000100505	ENST00000557456			TRIM9			protein_coding
chr7-1	chr7	47576024	47576299	+	1	NA	intron (ENST00000434451.1, intron 1 of 6)	protein_coding-intron (ENST00000311160.14, intron 1 of 30)	5470	ENST00000434451.1	ENSG00000136205	ENST00000705474			TNS3			protein_coding
chr1-337-2	chr1	151790468	151790539	+	1	NA	promoter-TSS (ENST00000368823.5)	protein_coding-promoter-TSS (ENST00000368823.5)	2	ENST00000458431.6	ENSG00000182134	ENST00000484421			TDRKH			protein_coding
chr15-284	chr15	101558228	101558343	+	1	NA	Intergenic	Intergenic	-4251	ENST00000560619.2	ENSG00000259464	ENST00000560619			SNRPCP18			processed_pseudogene
chr3-537	chr3	134485840	134485993	+	1	NA	promoter-TSS (ENST00000354910.10)	protein_coding-promoter-TSS (ENST00000354910.10)	69	ENST00000354910.10	ENSG00000129055	ENST00000508755			ANAPC13			protein_coding
chr11-87	chr11	119095399	119095666	+	1	NA	promoter-TSS (ENST00000375167.1)	protein_coding-promoter-TSS (ENST00000375167.1)	-67	ENST00000530167.2	ENSG00000188486	ENST00000375167			H2AX			protein_coding
chr7-81	chr7	155070027	155070291	+	1	NA	promoter-TSS (ENST00000287907.3)	protein_coding-promoter-TSS (ENST00000287907.3)	-165	ENST00000287907.3	ENSG00000157219	ENST00000486819			HTR5A			protein_coding
chr5-88	chr5	148011895	148012111	+	1	NA	Intergenic	Intergenic	-13680	ENST00000521206.5	ENSG00000133710	ENST00000398454			SPINK5			protein_coding
chr14-69	chr14	93046008	93046304	+	1	NA	intron (ENST00000555495.5, intron 1 of 8)	protein_coding-intron (ENST00000267615.11, intron 3 of 10)	-9182	ENST00000553655.1	ENSG00000100605	ENST00000555495			ITPK1			protein_coding
chr3-197	chr3	37176286	37176566	+	1	NA	promoter-TSS (ENST00000354379.8)	protein_coding-promoter-TSS (ENST00000354379.8)	39	ENST00000702636.1	ENSG00000290046	ENST00000702636			ENSG00000290046			lncRNA
chr17-658	chr17	57899834	57900128	+	1	NA	intron (ENST00000577830.6, intron 1 of 10)	protein_coding-intron (ENST00000360238.6, intron 1 of 10)	3408	ENST00000360238.6	ENSG00000180891	ENST00000577830			CUEDC1			protein_coding
chr15-201	chr15	50765119	50765338	+	1	NA	promoter-TSS (ENST00000558414.1)	protein_coding-promoter-TSS (ENST00000558414.1)	478	ENST00000261854.10	ENSG00000138600	ENST00000558146			SPPL2A			protein_coding
chr1-128	chr1	34825751	34825937	+	1	NA	intron (ENST00000426886.1, intron 2 of 4)	protein_coding-intron (ENST00000426886.1, intron 2 of 4)	-24850	ENST00000429293.1	ENSG00000230163	ENST00000429293			ENSG00000230163			lncRNA
chr3-96	chr3	122975431	122975652	+	1	NA	promoter-TSS (ENST00000449546.1)	protein_coding-promoter-TSS (ENST00000449546.1)	-171	ENST00000449546.1	ENSG00000082684	ENST00000449546			SEMA5B			protein_coding
chr6-65	chr6	36577378	36577565	+	1	NA	Intergenic	Intergenic	-16882	ENST00000613941.4	ENSG00000112081	ENST00000620941			SRSF3			protein_coding
chr21-126	chr21	45455444	45455713	+	1	NA	promoter-TSS (ENST00000355480.10)	protein_coding-promoter-TSS (ENST00000355480.10)	47	ENST00000359759.8	ENSG00000182871	ENST00000342220			COL18A1			protein_coding
chr16-392	chr16	68707884	68708096	+	1	NA	intron (ENST00000569080.2, intron 1 of 2)	protein_coding-intron (ENST00000569080.2, intron 1 of 2)	11846	ENST00000569117.1	ENSG00000062038	ENST00000569080			CDH3			protein_coding
chr4-109	chr4	82891331	82891405	+	1	NA	promoter-TSS (ENST00000311785.11)	protein_coding-promoter-TSS (ENST00000311785.11)	-102	ENST00000448323.5	ENSG00000138674	ENST00000448323			SEC31A			protein_coding
chr1-161	chr1	227937034	227937316	+	1	NA	intron (ENST00000272164.6, intron 1 of 3)	protein_coding-intron (ENST00000272164.6, intron 1 of 3)	4508	ENST00000584300.1	ENSG00000264483	ENST00000584300			MIR5008			miRNA
chr1-377	chr1	228140057	228140299	+	1	NA	promoter-TSS (ENST00000312726.9)	protein_coding-promoter-TSS (ENST00000312726.9)	-50	ENST00000462807.5	ENSG00000143774	ENST00000366722			GUK1			protein_coding
chr15-327	chr15	56243531	56243690	+	1	NA	promoter-TSS (ENST00000560827.6)	protein_coding-promoter-TSS (ENST00000560827.6)	269	ENST00000673997.1	ENSG00000181827	ENST00000673997			RFX7			protein_coding
chr8-376	chr8	66613110	66613307	+	1	NA	promoter-TSS (ENST00000517885.5)	protein_coding-promoter-TSS (ENST00000517885.5)	10	ENST00000522677.8	ENSG00000185697	ENST00000518079			MYBL1			protein_coding
chr16-258	chr16	31105907	31105991	+	1	NA	promoter-TSS (ENST00000394951.5)	protein_coding-promoter-TSS (ENST00000394951.5)	-158	ENST00000394951.5	ENSG00000103507	ENST00000394950			BCKDK			protein_coding
chr8-22	chr8	95269356	95269650	+	1	NA	promoter-TSS (ENST00000286688.6)	protein_coding-promoter-TSS (ENST00000286688.6)	-302	ENST00000286688.6	ENSG00000156172	ENST00000286688			CFAP418			protein_coding
chr19-13	chr19	10625257	10625514	+	1	NA	promoter-TSS (ENST00000335757.10)	protein_coding-promoter-TSS (ENST00000335757.10)	-135	ENST00000588688.5	ENSG00000129353	ENST00000591194			SLC44A2			protein_coding
chr21-111	chr21	41681302	41681533	+	1	NA	intron (ENST00000413718.1, intron 1 of 2)	lncRNA-intron (ENST00000413718.1, intron 1 of 2)	2236	ENST00000413718.1	ENSG00000227702	ENST00000413718			LINC00111			lncRNA
chr12-48	chr12	116559408	116559708	+	1	NA	intron (ENST00000556529.4, intron 1 of 1)	protein_coding-intron (ENST00000556529.4, intron 1 of 1)	177	ENST00000556529.4	ENSG00000258102	ENST00000556529			MAP1LC3B2			protein_coding
chr3-164	chr3	107796804	107797090	+	1	NA	intron (ENST00000443253.1, intron 3 of 3)	protein_coding-intron (ENST00000325805.13, intron 15 of 17)	-1644	ENST00000458347.1	ENSG00000114439	ENST00000472032			BBX			protein_coding
chrX-74	chrX	130903144	130903380	+	1	NA	promoter-TSS (ENST00000338144.8)	protein_coding-promoter-TSS (ENST00000338144.8)	-28	ENST00000370935.5	ENSG00000165675	ENST00000370927			ENOX2			protein_coding
chr10-5	chr10	5614021	5614284	+	1	NA	intron (ENST00000660276.1, intron 1 of 2)	lncRNA-intron (ENST00000660276.1, intron 1 of 2)	-2061	ENST00000676438.1	ENSG00000242147	ENST00000676438			LASTR			lncRNA
chr3-40	chr3	64445264	64445556	+	1	NA	promoter-TSS (ENST00000295902.11)	protein_coding-promoter-TSS (ENST00000295902.11)	-3	ENST00000295902.11	ENSG00000163637	ENST00000639113			PRICKLE2			protein_coding
chr9-270	chr9	114804558	114804776	+	1	NA	intron (ENST00000374045.5, intron 1 of 3)	protein_coding-intron (ENST00000374045.5, intron 1 of 3)	1372	ENST00000374045.5	ENSG00000181634	ENST00000374044			TNFSF15			protein_coding
chr1-388	chr1	247104368	247104649	+	1	NA	promoter-TSS (ENST00000343381.10)	protein_coding-promoter-TSS (ENST00000343381.10)	-136	ENST00000343381.10	ENSG00000188295	ENST00000366501			ZNF669			protein_coding
chr16-277	chr16	74609016	74609175	+	1	NA	Intergenic	Intergenic	-1951	ENST00000627032.2	ENSG00000090863	ENST00000566601			GLG1			protein_coding
chr8-279	chr8	100309550	100309610	+	1	NA	promoter-TSS (ENST00000523167.1)	protein_coding-promoter-TSS (ENST00000523167.1)	-54	ENST00000523167.1	ENSG00000034677	ENST00000522369			RNF19A			protein_coding
chr6-147	chr6	125154768	125155045	+	1	NA	intron (ENST00000534199.5, intron 1 of 4)	protein_coding-intron (ENST00000304877.17, intron 1 of 7)	525	ENST00000534199.5	ENSG00000111907	ENST00000368388			TPD52L1			protein_coding
