# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep2_tags
#
# total peaks = 17988
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 158
# genome size = 2000000000
# Total tags = 25730812.0
# Total tags in peaks = 1107194.0
# Approximate IP efficiency = 4.30%
# tags per bp = 0.003174
# expected tags per peak = 0.952
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.556326e-07
# FDR tag threshold = 9.0
# number of putative peaks = 30501
#
# input tag directory = INPUT_rep2_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 12098
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 414
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks IP_rep2_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep2_tags -o IP_rep2_vs_INPUT_rep2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr20-1	chr20	47319817	47320117	+	797.5	0.895	338.000000	562.7	20.0	28.14	0.00e+00	21.35	0.00e+00	0.73
chr20-2	chr20	57264262	57264562	+	656.0	0.771	305.000000	462.9	45.0	10.29	1.36e-288	12.34	0.00e+00	0.76
chr15-1	chr15	50355171	50355471	+	591.9	0.717	311.000000	417.7	5.0	83.53	0.00e+00	48.23	0.00e+00	0.70
chr17-2	chr17	61568671	61568971	+	578.7	0.799	246.000000	408.4	44.0	9.28	6.42e-239	21.32	0.00e+00	0.86
chr17-1	chr17	61231000	61231300	+	571.7	0.842	263.000000	403.4	35.0	11.53	3.02e-270	21.73	0.00e+00	0.82
chr16-1	chr16	11915958	11916258	+	535.2	0.928	270.000000	377.6	2.0	188.82	0.00e+00	178.81	0.00e+00	0.76
chr1-1	chr1	205211565	205211865	+	501.0	0.883	238.000000	353.5	9.0	39.28	0.00e+00	107.97	0.00e+00	0.86
chr5-1	chr5	178078273	178078573	+	444.6	0.874	209.000000	313.7	2.0	156.87	0.00e+00	30.37	0.00e+00	0.88
chr2-1	chr2	11498580	11498880	+	423.2	0.958	221.000000	298.7	4.0	74.66	0.00e+00	249.72	0.00e+00	0.81
chr17-4	chr17	59964508	59964808	+	419.7	0.821	222.000000	296.2	15.0	19.75	1.11e-263	19.64	0.00e+00	0.83
chr8-1	chr8	102600933	102601233	+	394.1	0.878	195.000000	278.1	5.0	55.62	0.00e+00	81.97	0.00e+00	0.87
chr1-2	chr1	113904867	113905167	+	365.7	0.736	216.000000	258.1	17.0	15.18	2.22e-202	27.51	0.00e+00	0.75
chr17-3	chr17	61411715	61412015	+	350.2	0.706	242.000000	247.1	47.0	5.26	2.33e-93	7.30	0.00e+00	0.65
chr3-2	chr3	170222002	170222302	+	332.7	0.819	180.000000	234.8	0.5	469.51	0.00e+00	97.80	0.00e+00	0.85
chr8-2	chr8	144078404	144078704	+	323.3	0.944	166.000000	228.2	1.0	228.17	0.00e+00	96.77	0.00e+00	0.92
chr15-2	chr15	70462923	70463223	+	307.8	0.800	172.000000	217.2	1.0	217.20	0.00e+00	57.03	0.00e+00	0.84
